neighbourhood,latitude,longitude,room_type,price,stars
Amager st,55.65418,12.62548,Entire home/apt,1100,5
Amager Vest,55.6604156290422,12.5856002386487,Entire home/apt,1200,5
Nrrebro,55.69487,12.55282,Entire home/apt,1050,4
Nrrebro,55.69905,12.54387,Entire home/apt,713,2
Frederiksberg,55.68318,12.55363,Entire home/apt,900,1
Frederiksberg,55.68468,12.55215,Entire home/apt,1000,1
Amager Vest,55.6643,12.57662,Entire home/apt,650,1
Nrrebro,55.69126,12.54107,Entire home/apt,967,2
Vesterbro-Kongens Enghave,55.6462,12.55351,Entire home/apt,1600,4
Vesterbro-Kongens Enghave,55.67239,12.55596,Entire home/apt,3500,5
Indre By,55.68626,12.61552,Entire home/apt,1398,5
Valby,55.66623,12.51729,Private room,1100,1
Nrrebro,55.68928,12.55849,Entire home/apt,1500,1
Amager Vest,55.65128,12.61196,Entire home/apt,1100,5
Amager st,55.6459,12.61749,Entire home/apt,1034,1
Nrrebro,55.69887,12.54831,Entire home/apt,700,4
Valby,55.65833,12.51186,Entire home/apt,679,4
Frederiksberg,55.68464,12.51273,Entire home/apt,1050,2
Vesterbro-Kongens Enghave,55.66817,12.55321,Entire home/apt,890,1
Vesterbro-Kongens Enghave,55.66936,12.55997,Entire home/apt,770,5
Vesterbro-Kongens Enghave,55.66882,12.5489,Entire home/apt,700,3
sterbro,55.70392,12.57784,Entire home/apt,1475,4
Bispebjerg,55.71353,12.51872,Entire home/apt,850,4
Amager Vest,55.66236,12.57948,Entire home/apt,500,5
sterbro,55.70675,12.55821,Entire home/apt,693,5
Amager Vest,55.64735,12.59233,Entire home/apt,1500,4
Indre By,55.68694,12.58601,Entire home/apt,400,5
Amager Vest,55.667206,12.582374,Entire home/apt,1108,5
sterbro,55.70673,12.58039,Entire home/apt,800,2
Indre By,55.68561,12.58757,Entire home/apt,2500,3
Frederiksberg,55.69388,12.52993,Entire home/apt,800,3
Indre By,55.67636,12.58887,Entire home/apt,2471,1
Vesterbro-Kongens Enghave,55.6695,12.56413,Entire home/apt,1250,5
Frederiksberg,55.68081,12.54292,Entire home/apt,1000,4
Indre By,55.68321,12.56612,Entire home/apt,1116,5
Nrrebro,55.68809,12.54471,Entire home/apt,1250,1
Vesterbro-Kongens Enghave,55.66982,12.55083,Entire home/apt,1129,1
Amager Vest,55.66359,12.59963,Entire home/apt,950,5
Nrrebro,55.68864,12.55992,Entire home/apt,2750,4
Amager Vest,55.66654,12.57744,Entire home/apt,1000,3
Vesterbro-Kongens Enghave,55.66573,12.54597,Entire home/apt,1621,5
Nrrebro,55.68716,12.55885,Private room,290,3
Nrrebro,55.69795,12.53873,Entire home/apt,550,2
Frederiksberg,55.67796,12.53948,Entire home/apt,750,1
Nrrebro,55.69217,12.55917,Entire home/apt,950,5
Indre By,55.6854,12.61269,Entire home/apt,2300,5
Indre By,55.68288,12.58258,Entire home/apt,2381,5
Nrrebro,55.69729,12.54386,Entire home/apt,600,2
Indre By,55.68688,12.58311,Entire home/apt,1450,4
Vesterbro-Kongens Enghave,55.67243,12.55706,Entire home/apt,1300,5
Nrrebro,55.69228,12.54612,Entire home/apt,595,4
Amager Vest,55.65573,12.60062,Entire home/apt,800,2
Frederiksberg,55.67116,12.53355,Entire home/apt,750,1
Amager st,55.66022,12.61866,Entire home/apt,1078,1
Vesterbro-Kongens Enghave,55.67211,12.55729,Entire home/apt,1400,2
Vesterbro-Kongens Enghave,55.64333,12.53187,Entire home/apt,1100,3
Nrrebro,55.6918,12.54332,Entire home/apt,1000,5
Frederiksberg,55.68304,12.53347,Entire home/apt,1029,5
Amager st,55.66639,12.6058,Entire home/apt,1000,5
Frederiksberg,55.67992,12.55531,Entire home/apt,950,2
sterbro,55.70077,12.57656,Entire home/apt,700,5
Nrrebro,55.69435,12.55568,Entire home/apt,980,5
Vesterbro-Kongens Enghave,55.67235,12.55036,Entire home/apt,810,1
Amager st,55.66055,12.61787,Entire home/apt,847,3
Frederiksberg,55.67236,12.53412,Entire home/apt,1600,4
Vesterbro-Kongens Enghave,55.67294,12.56452,Entire home/apt,850,1
Indre By,55.6858,12.58265,Entire home/apt,810,3
Indre By,55.68445,12.5607,Entire home/apt,800,1
Vanlse,55.69053,12.5126,Entire home/apt,550,5
Nrrebro,55.70032,12.54232,Entire home/apt,1800,4
Indre By,55.6704,12.5916,Entire home/apt,1492,2
Brnshj-Husum,55.71387,12.45995,Private room,400,5
Vesterbro-Kongens Enghave,55.6716,12.55222,Private room,249,2
Indre By,55.67783,12.59126,Entire home/apt,2000,5
Vesterbro-Kongens Enghave,55.6728,12.55468,Entire home/apt,930,3
Frederiksberg,55.68876,12.5361,Entire home/apt,1000,2
sterbro,55.72919,12.57158,Entire home/apt,1550,3
Nrrebro,55.69297,12.54426,Entire home/apt,995,4
Indre By,55.67911,12.56876,Entire home/apt,1183,4
Vesterbro-Kongens Enghave,55.66766,12.53839,Entire home/apt,950,1
sterbro,55.71182,12.56396,Entire home/apt,800,1
Vesterbro-Kongens Enghave,55.66849,12.55095,Entire home/apt,1150,4
Indre By,55.68117,12.59016,Entire home/apt,1331,1
Amager st,55.66633,12.61432,Entire home/apt,500,2
Indre By,55.66961,12.58308,Private room,550,2
Nrrebro,55.68826,12.56335,Entire home/apt,1286,5
Nrrebro,55.69699,12.54468,Entire home/apt,1300,1
Vesterbro-Kongens Enghave,55.66655,12.54994,Entire home/apt,840,2
Indre By,55.68398,12.56424,Entire home/apt,1476,3
sterbro,55.71344,12.57277,Entire home/apt,2120,1
Vesterbro-Kongens Enghave,55.6659,12.55129,Entire home/apt,850,4
Frederiksberg,55.69564,12.53336,Entire home/apt,881,3
Vesterbro-Kongens Enghave,55.668,12.54329,Entire home/apt,750,4
Vanlse,55.6931,12.49331,Entire home/apt,300,4
Vanlse,55.69385,12.50587,Entire home/apt,1400,2
Indre By,55.68586,12.57062,Entire home/apt,800,4
Vesterbro-Kongens Enghave,55.65855,12.55834,Entire home/apt,1116,2
sterbro,55.71048,12.56029,Private room,500,5
Nrrebro,55.70164,12.54735,Entire home/apt,700,4
Indre By,55.67655,12.56263,Entire home/apt,450,4
Vesterbro-Kongens Enghave,55.66462,12.54658,Entire home/apt,999,2
